2022-05-19 13:05:342 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - Central Coast
2022-05-19 13:05:433 INFO  NewAndUsedCarPage :59 - Select car price :$45,000
2022-05-19 13:05:534 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (f372518b74e478433b4f4c54fc926f13)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:972 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:723 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (12bf119272c62e6f3af83afc5a899c08)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:735 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (12bf119272c62e6f3af83afc5a899c08)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:756 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (12bf119272c62e6f3af83afc5a899c08)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 13:05:878 INFO  NewAndUsedCarPage :43 - Select car makes :Land Rover
2022-05-19 13:05:135 INFO  NewAndUsedCarPage :48 - Select car models :Discovery
2022-05-19 13:05:237 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - Sydney
2022-05-19 13:05:340 INFO  NewAndUsedCarPage :59 - Select car price :$50,000
2022-05-19 13:05:57 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (12bf119272c62e6f3af83afc5a899c08)] -> xpath: //input[@id='search-submit']]
2022-05-19 13:05:355 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 13:05:95 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (22d514c7ddf1a19741ed90763f3a4e60)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 13:05:13 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (22d514c7ddf1a19741ed90763f3a4e60)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 13:05:33 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (22d514c7ddf1a19741ed90763f3a4e60)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
